管理番号,管理名称,管理担当部課名,組織管理区分１名,利用者名,設置場所,設置場所詳細
25FA1L5910,海外商用_対向系_アンテナカプラ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25FA1L5920,海外商用_対向系_アンテナカプラ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25FA1L5930,海外商用_自動化_アンテナカプラ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25FA1X4210,ＧａｌａｘｙＳ２５ＵｌｔｒａＳ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25FA1X4220,ＧａｌａｘｙＳ２５ＵｌｔｒａＳ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25FA1X4230,ＡＱＵＯＳ　ｓｅｎｓｅ１０　Ｓ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25FA1X4240,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25FA1X4250,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25FA1X4260,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25FA1X4270,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25FA1X4280,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25GA0Y3750,Office Standard SLng LSA OLV N,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25GA0Y3760,Office Standard SLng LSA OLV N,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25GA1L5911,海外商用_対向系_アンテナカプラ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25GA1L5921,海外商用_対向系_アンテナカプラ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25GA1L5931,海外商用_自動化_アンテナカプラ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25GA1M1590,対向系 NOKIA-LS RET治具 202512,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25GA1X4211,ＧａｌａｘｙＳ２５ＵｌｔｒａＳ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25GA1X4221,ＧａｌａｘｙＳ２５ＵｌｔｒａＳ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25GA1X4231,ＡＱＵＯＳ　ｓｅｎｓｅ１０　Ｓ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25GA1X4241,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25GA1X4251,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25GA1X4261,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25GA1X4271,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25GA1X4281,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25GA218960,GT系自動化_UEBOX_2603,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25HA0A0172,SEF26A(高密度)先行評価試験,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25HA0X6972,対向系　19インチラック_202508,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25HA0Y3751,Office Standard SLng LSA OLV N,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25HA0Y3761,Office Standard SLng LSA OLV N,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25HA1L5912,海外商用_対向系_アンテナカプラ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25HA1L5922,海外商用_対向系_アンテナカプラ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25HA1L5932,海外商用_自動化_アンテナカプラ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25HA1X4212,ＧａｌａｘｙＳ２５ＵｌｔｒａＳ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25HA1X4222,ＧａｌａｘｙＳ２５ＵｌｔｒａＳ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25HA1X4232,ＡＱＵＯＳ　ｓｅｎｓｅ１０　Ｓ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25HA1X4242,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25HA1X4252,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25HA1X4262,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25HA1X4272,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25HA1X4282,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25HA204712,NR用FJT_vRANソフトウェア2,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25HA218961,GT系自動化_RUBOX_2603,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25HA221650,L1L2系_CN-SIM_SW_VoNR_09,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25HA2C3460,対向系光マトリクススイッチ_202,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25JA013942,25年度_FR_NK3３CCCA対応,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25JA0D3680,NR用FJT_vRANソフトウェア1,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25JA0X6973,対向系　19インチラック_202508,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25JA0Y3752,Office Standard SLng LSA OLV N,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25JA0Y3762,Office Standard SLng LSA OLV N,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25JA1L5913,海外商用_対向系_アンテナカプラ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25JA1L5923,海外商用_対向系_アンテナカプラ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25JA1L5933,海外商用_自動化_アンテナカプラ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25JA1M4012,海外商用RHOCP_EMS_Dell,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25JA1P2420,対向系_GFlex_202512_#1,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25JA1X4213,ＧａｌａｘｙＳ２５ＵｌｔｒａＳ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25JA1X4223,ＧａｌａｘｙＳ２５ＵｌｔｒａＳ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25JA1X4233,ＡＱＵＯＳ　ｓｅｎｓｅ１０　Ｓ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25JA1X4243,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25JA1X4253,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25JA1X4263,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25JA1X4273,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25JA1X4283,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25JA1Y3102,2025_商用模擬試験用EcoBB#1,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25JA218982,UE-SIM_SW_VoNR_01,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25JA221651,L1L2系_CN-SIM_SW_VoNR_10,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25JA237350,海外商用_安定化電源2603#10,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25KA045870,安定化電源_海外商用_RIC_2025#4,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25KA0Y3743,Office Standard SLng LSA OLV N,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25KA0Y3753,Office Standard SLng LSA OLV N,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25KA0Y3763,Office Standard SLng LSA OLV N,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25KA146360,トラヒック解析ツール作成委託＿,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25KA1L5914,海外商用_対向系_アンテナカプラ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25KA1L5924,海外商用_対向系_アンテナカプラ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25KA1L5934,海外商用_自動化_アンテナカプラ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25KA1P2421,対向系_GFlex_202512_#2,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25KA1X4214,ＧａｌａｘｙＳ２５ＵｌｔｒａＳ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25KA1X4224,ＧａｌａｘｙＳ２５ＵｌｔｒａＳ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25KA1X4234,ＡＱＵＯＳ　ｓｅｎｓｅ１０　Ｓ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25KA1X4244,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25KA1X4254,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25KA1X4264,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25KA1X4274,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25KA1X4284,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25KA1Y3103,2025_商用模擬試験用EcoBB#2,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25KA218983,UE-SIM_SW_VoNR_06,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25KA237341,海外商用_安定化電源2603#1,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25LA0R9601,対向系 NOKIA-CU#9_追加,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25LA0Y3744,Office Standard SLng LSA OLV N,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25LA0Y3754,Office Standard SLng LSA OLV N,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25LA0Y3764,Office Standard SLng LSA OLV N,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25LA1D5682,商用模擬試験用EcoCU,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25LA1L5915,海外商用_対向系_アンテナカプラ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25LA1L5925,海外商用_対向系_アンテナカプラ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25LA1L5935,海外商用_自動化_アンテナカプラ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25LA1P2422,対向系_GFlex_202512_#3,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25LA1S2220,RFスイッチ_GT系自動化_2603,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25LA1S3420,GT系_自動化_D-ATT_2026#3,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25LA1X4215,ＧａｌａｘｙＳ２５ＵｌｔｒａＳ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25LA1X4225,ＧａｌａｘｙＳ２５ＵｌｔｒａＳ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25LA1X4235,ＡＱＵＯＳ　ｓｅｎｓｅ１０　Ｓ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25LA1X4245,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25LA1X4255,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25LA1X4265,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25LA1X4275,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25LA1X4285,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25LA216994,SS次世代DU設置工事(N303,EN401),無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25LA218984,UE-SIM_SW_VoNR_10,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25LA237342,海外商用_安定化電源2603#2,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25MA0D7073,海外商用系VLAN設定_2025_07,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25MA0Y3745,Office Standard SLng LSA OLV N,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25MA0Y3755,Office Standard SLng LSA OLV N,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25MA0Y3765,Office Standard SLng LSA OLV N,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25MA1L5916,海外商用_対向系_アンテナカプラ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25MA1L5926,海外商用_対向系_アンテナカプラ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25MA1L5936,海外商用_自動化_アンテナカプラ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25MA1P2423,5Gパケットキャプチャ_IPNF_2025,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25MA1R3482,対向系_5GC-SIM_202601,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25MA1S3421,GT系_自動化_D-ATT_2026#4,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25MA1T5110,FH Monitorライセンス,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25MA1X4216,ＧａｌａｘｙＳ２５ＵｌｔｒａＳ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25MA1X4226,ＧａｌａｘｙＳ２５ＵｌｔｒａＳ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25MA1X4236,ＡＱＵＯＳ　ｓｅｎｓｅ１０　Ｓ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25MA1X4246,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25MA1X4256,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25MA1X4266,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25MA1X4276,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25MA1X4286,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25MA233383,海外商用 1FMMU 架台#1,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25MA237343,海外商用_安定化電源2603#3,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25MA2F5811,WA52-30-0303,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25MA2G1070,海外商用系用_Cisco N540_2509#6,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25MA2G1080,海外商用系用_Cisco N540_2509#1,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25MA2G1090,海外商用系用_Cisco N540_2509#2,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25MA2G1100,海外商用系用_Cisco N540_2509#3,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25NA021175,N301_空調増設工事,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25NA0X6957,商模_N4001_37GSRU_1,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25NA0Y3746,Office Standard SLng LSA OLV N,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25NA0Y3756,Office Standard SLng LSA OLV N,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25NA0Y3766,Office Standard SLng LSA OLV N,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25NA1E4603,LLM検証用_DGX_Spark#1,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25NA1L5917,海外商用_対向系_アンテナカプラ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25NA1L5927,海外商用_対向系_アンテナカプラ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25NA1L5937,海外商用_自動化_アンテナカプラ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25NA1P2424,5Gパケットキャプチャ_IPNF_2025,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25NA1R3483,対向系_IMS-GW Server_202601,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25NA1S3422,GT系_自動化_D-ATT_2026#5,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25NA1S4982,SFP-10/25G-BXD-I=,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25NA1X4217,ＧａｌａｘｙＳ２５ＵｌｔｒａＳ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25NA1X4227,ＧａｌａｘｙＳ２５ＵｌｔｒａＳ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25NA1X4237,ＡＱＵＯＳ　ｓｅｎｓｅ１０　Ｓ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25NA1X4247,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25NA1X4257,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25NA1X4267,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25NA1X4277,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25NA1X4287,ＡＱＵＯＳ　Ｒ１０　ＳＨ－５１,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25NA233384,海外商用 1FMMU 架台#2,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25NA237344,海外商用_安定化電源2603#4,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25NA271810,4GvRAN(3.0)IPNF_IPv4/IPv6 Dual,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25NA2G1071,海外商用系用_Cisco N540_2509#7,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25NA2G1081,海外商用系用_Cisco N540_2509#1,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25NA2G1091,海外商用系用_Cisco N540_2509#2,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25NA2G1101,海外商用系用_Cisco N540_2509#3,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25PA0L4878,25年度_28GNRU,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25PA0X6958,商模_N4001_37GSRU_2,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
25PA0Y3747,Office Standard SLng LSA OLV N,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
